id,revision,category,date,title,place,region,summary,source,sourceUrl,archivedAt
2026-09-19-ust-kamchatsk,b06debaef1941682,event,2026-09-19,Нападение в Усть-Камчатске,Усть-Камчатск,Камчатский край,"В ночь на 19 сентября медведь проник на огороженную территорию предприятия «Корякэнерго» в Усть-Камчатске и напал на сторожа 1953 года рождения. Мужчина получил смертельные травмы. По сообщению администрации округа, зверя начали разыскивать, а Следственный комитет проводит проверку обстоятельств происшествия.",Faunora,https://faunora.ru/news/na-kamchatke-iz-za-provalnoy-putiny-2026-09-21,2026-09-24T18:35:54+00:00
2026-09-16-palana,9e78a46e580eadbc,event,2026-09-16,Медведь на территории школы,Палана,Камчатский край,Утром 16 сентября медведь перелез через ограждение школы в посёлке Палана. Его заметили сотрудницы учреждения и вызвали полицию. Позднее зверь оказался во дворе детского дома «Эльгай»; из-за угрозы людям его застрелили. Пострадавших не было. Причину необычного поведения животного специалисты должны были проверить отдельно.,Правмир,https://www.pravmir.ru/na-kamchatke-medved-vyshel-k-shkole-i-detskomu-domu/,2026-09-24T18:35:54+00:00
2026-08-19-artybash,a93216b457b243a0,event,2026-08-19,Нападение возле Артыбаша,Окрестности Артыбаша,Республика Алтай,"19 августа возле посёлка Артыбаш медведь напал на палатку, в которой находились двое туристов. По данным, приведённым РБК, зверь вытащил из палатки 29-летнюю женщину; она погибла. Публикация РБК представляет обзор нескольких происшествий, поэтому дата публикации материала отличается от даты этого нападения.",РБК,https://www.rbc.ru/society/15/09/2026/6aa937759a7947f752018767,2026-09-24T18:35:54+00:00
2026-06-09-pokrovka,dedad9ecdfa5f559,event,2026-06-09,Нападение на рыбака у Покровки,Река Найба у Покровки,Сахалинская область,"9 июня медведь напал на мужчину, рыбачившего на реке Найба возле села Покровка Долинского района. Пострадавшего с ранами головы доставили в больницу; при отправке скорой помощью он был в сознании. Сотрудники сахалинского лесничества начали искать зверя в районе происшествия, а жителей попросили соблюдать осторожность при посещении леса.",РБК Приморье,https://amp.rbc.ru/regional/prim/10/06/2026/6a28ce149a79474b67ea935c,2026-09-24T18:35:54+00:00
2026-06-07-lazarev,87c99b4cde855b0e,event,2026-06-07,Медведь в центре посёлка,Лазарев,Хабаровский край,"В ночь на 7 июня медведь вышел в центр посёлка Лазарев Николаевского района. Местные жители заметили его примерно в 02:20 и сняли на видео. Та же публикация сообщает об отдельном случае в посёлке Тополево Хабаровского района, где другой медведь бродил по улицам и бросился к местному жителю; для Тополева нужна отдельная точка после уточнения обстоятельств.",360.ru,https://360.ru/news/proisshestviya/medvedi-vyshli-k-ljudjam-srazu-v-dvuh-rajonah-habarovskogo-kraja/,2026-09-24T18:35:54+00:00
2025-06-23-yuzhno-sakhalinsk,cbde772bdc07b4f7,event,2025-06-23,Нападение в черте Южно-Сахалинска,Южно-Сахалинск,Сахалинская область,"В июне 2025 года медведь напал на людей в черте Южно-Сахалинска рядом со скульптурой «Три оленя», в нескольких десятках метров от дороги. Один пострадавший умер после эвакуации спасателями, тело второго позднее нашли охотоведы. Следственный комитет возбудил дело о халатности, прокуратура начала проверку работы органов, отвечающих за регулирование численности диких животных.",РБК Приморье,https://prim.rbc.ru/prim/freenews/685904969a794775a3b102ed,2026-09-24T18:35:54+00:00
auto-5a5b3a4232306497,e79f6e93d0846e48,event,2026-09-24,Турист из Москвы погиб после нападения медведя во время рыбалки в Туве,Республика Тыва,Республика Тыва,"На реке Большой Енисей в Тоджинском районе Тувы медведь напал на туриста из Москвы. Мужчину с серьезными ранами лица доставили в больницу, но вскоре он скончался.
Дополнительно: Медведь напал на туриста в Туве, мужчина погиб, сообщил Интерфаксу глава республиканского Госохотнадзора Артыш Салчак ...
Дополнительно: В Тоджинском кожууне Республики Тыва медведь напал и покалечил туриста из Москвы. Об этом сообщает Госкомохотнадзор. По данным ведомства, мужчина вместе с другими туристами приехал на рыбалку на реку ...",РБК,https://www.rbc.ru/rbcfreenews/6ab4b852e50b2c8fd944c057,2026-09-24T18:54:30+00:00
news-573186eeae3ea079,618ce9b8590414f9,news,2026-09-24,Медведь залез в квартиру по фасаду дома,,,В китайской провинции Сычуань медвежонок забрался по стене многоэтажки и проник в квартиру через окно. Об этом сообщает SHOT.,Московский Комсомолец,https://www.mk.ru/incident/2026/09/24/medved-zalez-v-kvartiru-po-fasadu-doma.html,2026-09-24T18:54:30+00:00
news-2c63516634907dab,930babc485844add,news,2026-09-24,Медведь захватил рыболовецкое судно в Японии и сбежал от полиции вплавь,,,"В японском городе Шиогама медведь забрался на пришвартованное рыболовецкое судно, устроился на носу корабля и уснул. Спустя несколько часов зверь проснулся, прыгнул за борт и уплыл, сообщает SoraNews2 ...",Life.ru,https://life.ru/p/medved-zahvatil-rybolovetskoe-sudno-v-yaponii-i-sbezhal-ot-politsii-vplav,2026-09-24T18:54:30+00:00
news-2131378ede60472e,f21718bc98f3a745,news,2026-09-24,"Что делать, если к дому пришёл медведь: инструкция и советы эксперта",,,"Большинство дачников и владельцев загородных домов не готовы к встрече с диким зверем ни морально, ни практически ...",Рамблер,https://www.rambler.ru/dom/dacha-sad/57115398-chto-delat-esli-k-domu-prishel-medved-instruktsiya-i-sovety-eksperta/,2026-09-24T18:54:30+00:00
